Provincia;Partido;Localidad;Link Indec;Otros;0,256 Mbps;0,375 Mbps;0,5 Mbps;0,512 Mbps;0,625 Mbps;0,75 Mbps;1 Mbps;1,25 Mbps;1,5 Mbps;2 Mbps;2,2 Mbps;2,5 Mbps;3 Mbps;3,3 Mbps;3,5 Mbps;4 Mbps;4,5 Mbps;5 Mbps;6 Mbps;6,4 Mbps;7 Mbps;7,5 Mbps;8 Mbps;9 Mbps;10 Mbps;10,2 Mbps;11 Mbps;12 Mbps;12,3 Mbps;13 Mbps;14 Mbps;15 Mbps;16 Mbps;17 Mbps;18 Mbps;20 Mbps;20,5 Mbps;21 Mbps;22 Mbps;23 Mbps;24 Mbps;25 Mbps;25,1 Mbps;25,5 Mbps;26 Mbps;27 Mbps;30 Mbps;31 Mbps;32 Mbps;34 Mbps;35 Mbps;36 Mbps;38 Mbps;39 Mbps;40 Mbps;41 Mbps;45 Mbps;46 Mbps;48 Mbps;49 Mbps;50 Mbps;50,1 Mbps;50,25 Mbps;51 Mbps;55 Mbps;58 Mbps;59 Mbps;60 Mbps;61 Mbps;62 Mbps;64 Mbps;65 Mbps;66 Mbps;70 Mbps;75 Mbps;78 Mbps;80 Mbps;83 Mbps;85 Mbps;90 Mbps;92 Mbps;95 Mbps;100 Mbps;100,25 Mbps;110 Mbps;120 Mbps;122 Mbps;125 Mbps;126 Mbps;130 Mbps;140 Mbps;150 Mbps;157 Mbps;158 Mbps;160 Mbps;164 Mbps;165 Mbps;180 Mbps;200 Mbps;212 Mbps;220 Mbps;225 Mbps;234 Mbps;240 Mbps;250 Mbps;256 Mbps;275 Mbps;300 Mbps;320 Mbps;325 Mbps;330 Mbps;340 Mbps;400 Mbps;450 Mbps;480 Mbps;500 Mbps;512 Mbps;520 Mbps;540 Mbps;600 Mbps;680 Mbps;700 Mbps;800 Mbps;850 Mbps;900 Mbps;950 Mbps;1000 Mbps;1024 Mbps;Total general
BUENOS AIRES;Almirante Brown;Rafael Calzada;6028010;;;;3 ;;;10 ;29 ;;;;;;99 ;;18 ;339 ;;11 ;59 ;;;;3 ;;635 ;;;;;;;9 ;;;;1 ;;;;;;22 ;;;;;9.969 ;;;;;;;;;;;;;;155 ;;;;;;;3.107 ;;;;;;;602 ;;;;;;;;2.580 ;;;;;;;;;1.607 ;;;;;;;;;;;;;;;;1.325 ;;;;;;;;267 ;;;;;;;;;;;237 ;;21.087 
BUENOS AIRES;Almirante Brown;San Francisco Solano;6028010;1 ;;;1 ;;;4 ;9 ;;;;;;40 ;;21 ;;;;114 ;;;;;;120 ;;;;;;;1 ;;;;13 ;;;;;;4 ;;;;;3.236 ;;;;;;;;;;;;;;21 ;;;;;;;1.539 ;;;;;;;260 ;;;;;;;;1.060 ;;;;;;;;;824 ;;;;;;;;;;;;;;;;285 ;;;;;;;;73 ;;;;;;;;;;;117 ;;7.743 
BUENOS AIRES;Almirante Brown;San Jose;6028010;;;;3 ;;;1 ;;;;;;;;;2 ;;;4 ;100 ;;;;;;472 ;;;;;;;;;;;56 ;;;;;;22 ;;;;;5 ;;;;;;;;;;;;;;58 ;;;;;;;3.458 ;;;;;;;644 ;;;;;;;;2.001 ;;;;;;;;;1.687 ;;;;;;;;;;;;;;;;666 ;;;;;;;;162 ;;;;;;;;;;;209 ;;9.550 
BUENOS AIRES;AMBA;OTROS;Sin Datos;0 ;;;13 ;;;;0 ;;;;;;;;;;;;;;;;;;;;;;;;;0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13 
BUENOS AIRES;Arrecifes;Arrecifes;6077010;2 ;;;1 ;;;6 ;137 ;;;275 ;;;1.009 ;;165 ;449 ;;;67 ;;;;285 ;;9 ;;;;;;;450 ;;;;3.372 ;;;;;;;;;;;3 ;;;;;;;;;;;;;;850 ;;;;;;;;;;;;;;;;;;;;;;886 ;;;;;;;;;;;;;;;;;;;;;;;;;400 ;;;;;;;;27 ;;;;;;;;;;;;;8.393 
BUENOS AIRES;Arrecifes;Todd;6077020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92 ;;;;;;;;138 ;;;;;;;;;;;;;;;;;;;;;;;;;61 ;;;;;;;;;;;;;;;;;;;;;;13 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;304 
BUENOS AIRES;Arrecifes;Viñ;6077030;;;;;;;;;;;;;;110 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;110 
BUENOS AIRES;Avellaneda;Avellaneda;6035010;24 ;;;8 ;5 ;;43 ;43 ;;;1 ;;;33 ;;288 ;;;10 ;40 ;;;;397 ;;295 ;;;;;;;803 ;;;;69 ;;;;;;8 ;;;;;2.896 ;;;;;;;;;;;;;;2.634 ;;;;;;;712 ;;;;;;;188 ;;;;;;;;3.409 ;;;;;;;;;398 ;;;;;;;1 ;;;;;;;;;3.323 ;;;;;;;;590 ;;;;;;;;;;;86 ;;16.304 
BUENOS AIRES;Avellaneda;Crucesita;6035010;;;;;;;1 ;1 ;;;;;;1 ;;6 ;;;4 ;18 ;;;;3 ;;174 ;;;;;;;1 ;;;;24 ;;;;;;8 ;;;;;12 ;;;;;;;;;;;;;;2.247 ;;;;;;;501 ;;;;;;;121 ;;;;;;;;2.195 ;;;;;;;;;352 ;;;;;;;;;;;;;;;;1.664 ;;;;;;;;313 ;;;;;;;;;;;72 ;;7.718 
BUENOS AIRES;Avellaneda;Dock Sud;6035010;2 ;;;1 ;;;5 ;6 ;;;;;;5 ;;;;;;269 ;;;;1 ;;58 ;;;;;;;;;;;270 ;;;;;23 ;1 ;;;;;4 ;;;;;;;;;;;;;;1.309 ;;;;;;;215 ;;;;;;;52 ;;;;;;;;616 ;;;;;;;;;132 ;;;;;;;;;;;;;;;;132 ;;;;;;;;24 ;;;;;;;;;;;15 ;;3.140 
BUENOS AIRES;Avellaneda;Gerli;6035010;;;;1 ;;;2 ;2 ;;;;;;;;1 ;;;;;;;;;;403 ;;;;;;;;;;;16 ;;;;;;14 ;;;;;6 ;;;;;;;;;;;;;;3.584 ;;;;;;;890 ;;;;;;;170 ;;;;;;;;2.644 ;;;;;;;;;642 ;;;;;;;;;;;;;;;;1.790 ;;;;;;;;267 ;;;;;;;;;;;86 ;;10.518 
BUENOS AIRES;Avellaneda;Pineyro;6035010;1 ;;;4 ;;;2 ;6 ;;;2 ;;;1 ;;4 ;;;8 ;;;;;2 ;;296 ;;;;;;;1 ;;;;14 ;;;;;;13 ;;;;;16 ;;;;;;;;1 ;;;;;;2.012 ;;;;;;;784 ;;;;;;;148 ;;;;;;;;2.169 ;;;;;;;;;613 ;;;;;;;;;;;;;;;;1.871 ;;;;;;;;298 ;;;;;;;;;;;98 ;;8.364 
BUENOS AIRES;Avellaneda;Sarand�;6035010;5 ;;;12 ;1 ;;35 ;5 ;;;4 ;;;2 ;;215 ;;;14 ;28 ;;;;128 ;;453 ;;;;;;;1.604 ;;;;86 ;;;;;;33 ;;;;;3.399 ;;;;;;;;;;;;;;6.612 ;;;;;;;1.407 ;;;;;;;278 ;;;;;;;;4.920 ;;;;;;;;;938 ;;;;;;;;;;;;;;;;3.054 ;;;;;;;;478 ;;;;;;;;;;;179 ;;23.890 
BUENOS AIRES;Avellaneda;Villa Domínic;6035010;;;;5 ;;;8 ;14 ;;;18 ;;;142 ;;2 ;;;4 ;439 ;;;;3 ;;474 ;;;;;;;2 ;;;;71 ;;;;;;38 ;;;;;10 ;;;;;;;;;;;;;;5.662 ;;;;;;;1.993 ;;;;;;;377 ;;;;;;;;3.566 ;;;;;;;;;1.020 ;;;;;;;;;;;;;;;;2.232 ;;;;;;;;359 ;;;;;;;;;;;146 ;;16.585 
BUENOS AIRES;Avellaneda;Wilde;6035010;33 ;;;5 ;;;32 ;7 ;;;3 ;;;6 ;;116 ;;;9 ;39 ;;;;261 ;;645 ;;;;;;;1.663 ;;;;74 ;;;;;;33 ;;;;;3.083 ;;;;;;;;1 ;;;;;;8.030 ;;;;;;;1.956 ;;;;;;;406 ;;;;;;;;5.554 ;;;;;;;;;1.352 ;;;;;;;;;;;;;;;;3.864 ;;;;;;;;577 ;;;;;;;;;;;208 ;;27.957 
BUENOS AIRES;Ayacucho;Ayacucho;6042010;;;;;;;7 ;119 ;;;;;;;;109 ;;;;20 ;;;;752 ;;;;;;;;;1.202 ;;;;;;;;;;;;;;;3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.212 
BUENOS AIRES;Ayacucho;La Constancia;6042020;;;;;;;;;;;10 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10 
BUENOS AIRES;Ayacucho;Solanet;6042030;;;;;;;;17 ;;;10 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27 
BUENOS AIRES;Ayacucho;Udaquiola;6042040;;;;;1 ;;;31 ;;;14 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46 
BUENOS AIRES;Azul;Azul;6049020;15 ;;;9 ;;;55 ;171 ;;;819 ;;;;;754 ;;;121 ;2 ;;;;951 ;;129 ;;;;;;;684 ;;;;13 ;;;;;;;;;;;15 ;;;;;;;;2 ;;;;;;1.409 ;;;;;;;;;;;;;;;;;;;;;;6.556 ;;;;;;;;;;;;;;;;;;;;;;;;;5.564 ;;;;;;;;334 ;;;;;;;;;;;8 ;;17.611 
BUENOS AIRES;Azul;Cachar�;6049030;;;;;;;;;;;458 ;;;;;;;;56 ;5 ;;;;;;1 ;;;;;;;;;;;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;521 
BUENOS AIRES;Azul;Chillar;6049040;;;;;1 ;;;;;;8 ;;;;;;545 ;;8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;562 
BUENOS AIRES;Bahía Blanc;Bahía Blanc;6056010;39 ;2 ;;19 ;1 ;;184 ;152 ;;;84 ;;;323 ;;1.714 ;200 ;;349 ;427 ;;7 ;;2.857 ;1 ;446 ;;3 ;58 ;;2 ;3 ;1.264 ;3 ;2 ;;60 ;;1 ;;;;22 ;;;;;1.614 ;;;;;;;;4 ;;;;;;26.071 ;;;;;;59 ;;;;;;;;;;;;;;;;57.356 ;;;;;;;;;2.892 ;;;;;;;;;;;;;;;;23.003 ;;;;;;;;1.711 ;;;;;;;;;;;25 ;;120.958 
BUENOS AIRES;Bahía Blanc;Cabildo;6056020;6 ;;;;;;;;;;;;;;;;9 ;;1 ;153 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;169 
